"timestamp","page_group","geo_cc","geo_rg","geo_city","geo_org","geo_netspeed","user_agent_family","user_agent_major","user_agent_os","user_agent_osversion","user_agent_model","referrer","page_index","navigation_type","params_dom_sz","params_dom_ln","params_dom_script","params_dom_img","timers_t_done","timers_t_resp","timers_t_page","tcp_windows","nodes_1000","scripts_10","imgs_10","datetime","dt_year","dt_month","dt_week","dt_day","dt_hour","dt_6hour","dt_12hour","dt_minute","dt_5min","dt_15min","dt_20min","dt_30min"
1409608822514,"searchresults","US","US:: WA","US:: WA:: Glenoma","CenturyLink","Cable/DSL","IE","IE:: 11","Windows 7",NA,NA,"www.staples.com","11th+ Page","navigation",887196,9275,149,32,8292,3358,4934,"32 TCP Windows","10K Nodes","160 Scripts","40 Images","2014-09-01T22:00:22.514",2014,9,36,1,22,18,12,0,0,0,0,0
1409608822522,"skuskuset","US","US:: FL","US:: FL:: Fort Pierce","Comcast Cable","Cable/DSL","IE","IE:: 11","Windows 8.1",NA,NA,"www.staples.com","11th+ Page","navigation",494601,2607,149,32,5208,1600,3608,"32 TCP Windows","3K Nodes","160 Scripts","40 Images","2014-09-01T22:00:22.522",2014,9,36,1,22,18,12,0,0,0,0,0
1409608822535,"skuskuset","US","US:: MA","US:: MA:: Maynard","Verizon FiOS","Cable/DSL","Chrome","Chrome:: 36","Windows 7",NA,NA,"www.staples.com","11th+ Page","navigation",543337,3128,148,55,6878,418,6460,"32 TCP Windows","4K Nodes","160 Scripts","60 Images","2014-09-01T22:00:22.535",2014,9,36,1,22,18,12,0,0,0,0,0
1409608822564,"erobyfrequency","US","US:: PA","US:: PA:: Johnstown","Atlantic Broadband","Cable/DSL","IE","IE:: 11","Windows 7",NA,NA,"www.staples.com","3rd-10th Page","navigation",466540,2461,123,29,3043,1195,1848,"16 TCP Windows","3K Nodes","140 Scripts","40 Images","2014-09-01T22:00:22.564",2014,9,36,1,22,18,12,0,0,0,0,0
1409608822574,"class","US","US:: NY","US:: NY:: Rome","Verizon Internet Services","Cable/DSL","Firefox","Firefox:: 31","Windows 7",NA,NA,"www.google.com","Entry Page","navigation",714402,4542,156,56,15619,2016,13603,"32 TCP Windows","5K Nodes","160 Scripts","60 Images","2014-09-01T22:00:22.574",2014,9,36,1,22,18,12,0,0,0,0,0
1409608822610,"kioskexpresscheckout","US","US:: MA","US:: MA:: Framingham","The Paper Company","Corporate","IE","IE:: 8","Windows XP",NA,NA,"www.staples.com","11th+ Page","cookie",352592,2195,114,6,2735,94,2641,"16 TCP Windows","3K Nodes","120 Scripts","20 Images","2014-09-01T22:00:22.61",2014,9,36,1,22,18,12,0,0,0,0,0
1409608822657,"searchresults","US","US:: MA","US:: MA:: Framingham","The Paper Company","Corporate","IE","IE:: 8","Windows XP",NA,NA,NA,"11th+ Page","none",421249,3518,129,29,9406,892,8514,"16 TCP Windows","4K Nodes","140 Scripts","40 Images","2014-09-01T22:00:22.657",2014,9,36,1,22,18,12,0,0,0,0,0
1409608822683,"searchresults","US","US:: NY","US:: NY:: Brooklyn","Time Warner Cable","Cable/DSL","Chrome","Chrome:: 37","Windows 7",NA,NA,"www.staples.com","11th+ Page","navigation",436312,2275,133,23,3613,1824,1789,"16 TCP Windows","3K Nodes","140 Scripts","40 Images","2014-09-01T22:00:22.683",2014,9,36,1,22,18,12,0,0,0,0,0
1409608822732,"skuskuset","US","US:: OH","US:: OH:: Cleveland","AT&T U-verse","Cable/DSL","Chrome","Chrome:: 30","Windows 7",NA,NA,NA,"Entry Page","navigation",558376,3284,148,55,15752,1282,14470,"32 TCP Windows","4K Nodes","160 Scripts","60 Images","2014-09-01T22:00:22.732",2014,9,36,1,22,18,12,0,0,0,0,0
1409608822734,"class","US","US:: NE","US:: NE:: Lincoln","Time Warner Cable","Cable/DSL","Chrome","Chrome:: 36","Windows 7",NA,NA,"www.staples.com","11th+ Page","navigation",706711,4664,158,64,4400,1711,2689,"32 TCP Windows","5K Nodes","160 Scripts","80 Images","2014-09-01T22:00:22.734",2014,9,36,1,22,18,12,0,0,0,0,0
